Date,Time,Tank,Genet,N,Splitting
10/27/23,17:30,8,D,24,1
10/27/23,17:30,8,E,28,0
10/27/23,17:30,9,A,15,0
10/27/23,17:30,9,B,21,1
10/27/23,17:30,9,C,17,0
10/27/23,17:30,9,D,23,0
10/27/23,17:30,9,E,22,0
10/27/23,17:30,10,A,19,0
10/27/23,17:30,10,B,23,1
10/27/23,17:30,10,C,12,0
10/27/23,17:30,10,D,26,1
10/27/23,17:30,10,E,26,1
10/27/23,17:30,11,A,16,0
10/27/23,17:30,11,B,20,0
10/27/23,17:30,11,C,17,0
10/27/23,17:30,11,D,23,0
10/27/23,17:30,11,E,24,1
10/27/23,17:30,12,A,16,2
10/27/23,17:30,12,B,20,0
10/27/23,17:30,12,C,11,0
10/27/23,17:30,12,D,30,0
10/27/23,17:30,12,E,25,0
10/27/23,17:30,13,A,17,2
10/27/23,17:30,13,B,19,2
10/27/23,17:30,13,C,11,0
10/27/23,17:30,13,D,24,0
10/27/23,17:30,13,E,22,0
10/27/23,17:30,14,A,21,1
10/27/23,17:30,14,B,24,0
10/27/23,17:30,14,C,8,0
10/27/23,17:30,14,D,21,0
10/27/23,17:30,14,E,28,0
10/27/23,17:30,15,A,14,2
10/27/23,17:30,15,B,24,0
10/27/23,17:30,15,C,10,0
10/27/23,17:30,15,D,22,0
10/27/23,17:30,15,E,32,0
10/31/23,16:45,1,A,21,0
10/31/23,16:45,1,B,23,1
10/31/23,16:45,1,C,12,1
10/31/23,16:45,1,D,20,1
10/31/23,16:45,1,E,20,1
10/31/23,16:45,2,A,16,1
10/31/23,16:45,2,B,20,0
10/31/23,16:45,2,C,12,0
10/31/23,16:45,2,D,22,0
10/31/23,16:45,2,E,28,0
10/31/23,16:45,3,A,17,1
10/31/23,16:45,3,B,23,0
10/31/23,16:45,3,C,15,0
10/31/23,16:45,3,D,22,0
10/31/23,16:45,3,E,25,0
10/31/23,16:45,4,A,18,0
10/31/23,16:45,4,B,23,1
10/31/23,16:45,4,C,12,0
10/31/23,16:45,4,D,23,0
10/31/23,16:45,4,E,27,0
10/31/23,16:45,5,A,17,0
10/31/23,16:45,5,B,20,0
10/31/23,16:45,5,C,10,0
10/31/23,16:45,5,D,28,0
10/31/23,16:45,5,E,31,0
10/31/23,16:45,6,A,24,1
10/31/23,16:45,6,B,25,0
10/31/23,16:45,6,C,11,0
10/31/23,16:45,6,D,27,0
10/31/23,16:45,6,E,27,1
10/31/23,16:45,7,A,24,0
10/31/23,16:45,7,B,22,0
10/31/23,16:45,7,C,15,0
10/31/23,16:45,7,D,25,0
10/31/23,16:45,7,E,28,0
10/31/23,16:45,8,A,16,1
10/31/23,16:45,8,B,27,0
10/31/23,16:45,8,C,10,0
10/31/23,16:45,8,D,26,0
10/31/23,16:45,8,E,29,0
10/31/23,16:45,9,A,15,1
10/31/23,16:45,9,B,22,0
10/31/23,16:45,9,C,17,1
10/31/23,16:45,9,D,24,0
10/31/23,16:45,9,E,22,0
10/31/23,16:45,10,A,19,0
10/31/23,16:45,10,B,24,0
10/31/23,16:45,10,C,15,0
10/31/23,16:45,10,D,27,0
10/31/23,16:45,10,E,26,1
10/31/23,16:45,11,A,16,0
10/31/23,16:45,11,B,20,0
10/31/23,16:45,11,C,17,1
10/31/23,16:45,11,D,23,0
10/31/23,16:45,11,E,26,0
10/31/23,16:45,12,A,18,0
10/31/23,16:45,12,B,19,0
10/31/23,16:45,12,C,10,0
10/31/23,16:45,12,D,32,0
10/31/23,16:45,12,E,25,1
10/31/23,16:45,13,A,18,0
10/31/23,16:45,13,B,21,0
10/31/23,16:45,13,C,11,1
10/31/23,16:45,13,D,24,0
10/31/23,16:45,13,E,23,0
10/31/23,16:45,14,A,20,1
10/31/23,16:45,14,B,24,0
10/31/23,16:45,14,C,8,1
10/31/23,16:45,14,D,21,0
10/31/23,16:45,14,E,28,1
10/31/23,16:45,15,A,15,2
10/31/23,16:45,15,B,24,0
10/31/23,16:45,15,C,9,0
10/31/23,16:45,15,D,22,1
10/31/23,16:45,15,E,32,0
